date, open, high, low, close, volume
2018.04.12 23:10,1.2327,1.23272,1.2327,1.23272,3,0
2018.04.12 23:11,1.23261,1.23278,1.23272,1.23267,15,0
2018.04.12 23:12,1.23277,1.23279,1.23276,1.23277,9,0
2018.04.12 23:13,1.23277,1.23286,1.23277,1.23283,32,0
2018.04.12 23:14,1.23283,1.23288,1.23282,1.23284,33,0
2018.04.12 23:15,1.23284,1.23293,1.23281,1.23291,25,0
2018.04.12 23:16,1.23291,1.23303,1.23289,1.233,42,0
2018.04.12 23:17,1.233,1.23304,1.23295,1.23304,23,0
2018.04.12 23:18,1.23304,1.23311,1.23299,1.23303,49,0
2018.04.12 23:19,1.23303,1.23313,1.233,1.23309,45,0
2018.04.12 23:20,1.23308,1.23315,1.23301,1.23303,71,0
2018.04.12 23:21,1.23303,1.23314,1.23298,1.23305,34,0
2018.04.12 23:22,1.23305,1.23305,1.23305,1.23305,1,0
2018.04.12 23:23,1.23305,1.23305,1.233,1.233,16,0
2018.04.12 23:24,1.233,1.233,1.23293,1.23295,9,0
2018.04.12 23:25,1.23295,1.23295,1.23291,1.23291,5,0
2018.04.12 23:26,1.23294,1.23296,1.23289,1.23295,18,0
2018.04.12 23:27,1.23295,1.23295,1.23288,1.23288,5,0
2018.04.12 23:28,1.23288,1.23289,1.23278,1.23284,26,0
2018.04.12 23:29,1.23284,1.23301,1.23281,1.23299,71,0
2018.04.12 23:30,1.23299,1.23299,1.23283,1.2329,19,0
2018.04.12 23:31,1.2329,1.23291,1.23286,1.23287,7,0
2018.04.12 23:32,1.23287,1.23288,1.23284,1.23286,8,0
2018.04.12 23:33,1.23286,1.2329,1.23286,1.2329,5,0
2018.04.12 23:34,1.23291,1.23295,1.23289,1.2329,7,0
2018.04.12 23:35,1.2329,1.2329,1.2329,1.2329,1,0
2018.04.12 23:36,1.2329,1.23291,1.2329,1.23291,4,0
2018.04.12 23:37,1.23291,1.23295,1.2329,1.2329,9,0
2018.04.12 23:38,1.2329,1.2329,1.2329,1.2329,1,0
2018.04.12 23:39,1.2329,1.2329,1.2329,1.2329,1,0
2018.04.12 23:40,1.2329,1.23294,1.23286,1.23293,12,0
2018.04.12 23:41,1.23294,1.23295,1.23287,1.23288,13,0
